DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
,7-02,(SAT),305,4625.84,15.17,1358.32,4.8,68,1,,,,,2005
*,7-03,(SUN),0,,,,,,,,,,,2005
*,7-04,(MON),0,,,,,,,,,,,2005
,7-05,(TUE),228,3304.12,14.49,879.27,4.13,67,0,0,0,,,2005
,7-06,(WED),200,2975.93,14.88,800.77,4.4,62,1,0,0,,,2005
,7-07,(THU),151,2137.9,14.16,537.34,3.81,68,0,1,1,,,2005
,7-08,(FRI),72,1098.51,15.26,275.39,4.11,63,0,0,0,,,2005
*,7-09,(SAT),0,,,,,,,,,,,2005
*,7-10,(SUN),0,,,,,,,,,,,2005
,7-11,(MON),159,2258.62,14.21,567.64,4.11,67,2,0,0,,,2005
,7-12,(TUE),152,2253.97,14.83,745.32,5.32,68,0,0,0,,,2005
,7-13,(WED),138,1905.29,13.81,605.95,4.85,66,0,0,0,,,2005
,7-14,(THU),128,1911.1,14.93,560.15,4.75,65,3,1,0,,,2005
,7-15,(FRI),178,2408.14,13.53,664.88,4.21,68,1,0,0,,,2005
,7-16,(SAT),231,3674.5,15.91,1055.49,4.96,75,2,0,0,,,2005
*,7-17,(SUN),0,,,,,,,,,,,2005
,7-18,(MON),172,2534.22,14.73,720.12,4.71,66,0,0,0,,,2005
,7-19,(TUE),117,1809.98,15.47,495.88,4.27,69,0,0,0,,,2005
,7-20,(WED),109,1410.04,12.94,329.68,3.47,60,0,0,0,,,2005
,7-21,(THU),123,1843.22,14.99,472.79,4.26,63,0,0,0,,,2005
,7-22,(FRI),139,1970.41,14.18,501.94,4.05,66,0,0,0,,,2005
,7-23,(SAT),275,4162.12,15.13,1169.91,4.64,72,0,0,0,,,2005
*,7-24,(SUN),0,,,,,,,,,,,2005
,7-25,(MON),114,1713.29,15.03,483.47,4.6,65,0,0,0,,,2005
,7-26,(TUE),175,2733.66,15.62,829.18,5.21,67,0,0,0,,,2005
,7-27,(WED),154,2191.4,14.23,535.44,3.72,63,0,0,0,,,2005
,7-28,(THU),153,2395.78,15.66,646.56,4.55,68,0,0,0,,,2005
,7-29,(FRI),217,3115.08,14.36,780.72,3.86,60,1,0,0,,,2005
,7-30,(SAT),260,4097.15,15.76,1206.75,4.99,71,0,0,0,,,2005
,7-31,(SUN),0,,,,,,,,,,,2005
,6-01,(WED),0,,,,,,,,,,,2005
*,6-02,(THU),0,,,,,,,,,,,2005
*,6-03,(FRI),0,,,,,,,,,,,2005
,6-04,(SAT),79,1127.22,14.27,394.93,6.27,75,1,0,0,,,2005
*,6-05,(SUN),0,,,,,,,,,,,2005
,6-06,(MON),183,2524.69,13.8,732.76,4.47,67,1,0,0,,,2005
,6-07,(TUE),191,2679.63,14.03,761.74,4.3,68,1,0,0,,,2005
,6-08,(WED),111,1577.39,14.21,365.22,3.62,56,1,0,0,,,2005
,6-09,(THU),55,806.09,14.66,253.23,5.39,66,1,0,0,,,2005
*,6-10,(FRI),0,,,,,,,,,,,2005
,6-11,(SAT),66,935.51,14.17,328.91,6.09,78,0,2,2,,,2005
*,6-12,(SUN),0,,,,,,,,,,,2005
,6-13,(MON),160,2037.76,12.74,512.55,3.82,63,8,1,1,,,2005
,6-14,(TUE),139,1932.09,13.9,529.4,4.27,69,1,0,0,,,2005
,6-15,(WED),135,1908.72,14.14,525.16,4.07,61,2,0,0,,,2005
,6-16,(THU),186,2612.97,14.05,779.63,4.73,69,2,0,0,,,2005
,6-17,(FRI),222,3197.76,14.4,925.79,4.56,67,0,0,0,,,2005
,6-18,(SAT),286,4259.37,14.89,1269.5,4.7,76,0,0,0,,,2005
*,6-19,(SUN),0,,,,,,,,,,,2005
*,6-20,(MON),0,,,,,,,,,,,2005
,6-21,(TUE),46,626.63,13.62,178.27,4.46,57,0,0,0,,,2005
,6-22,(WED),53,682.61,12.88,188.41,3.77,54,0,0,0,,,2005
,6-23,(THU),95,1431.92,15.07,348.44,4.01,52,2,2,2,,,2005
,6-24,( FRI),136,1749.65,12.87,484.95,4.18,72,2,0,0,,,2005
,6-25,(SAT),216,3371.69,15.61,904.45,4.54,65,0,0,0,,,2005
*,6-26,(SUN),0,,,,,,,,,,,2005
,6-27,(MON),88,1322.7,15.03,339.48,4.3,66,0,0,0,,,2005
,6-28,(TUE),69,908.91,13.17,233.45,4.02,59,0,0,0,,,2005
,6-29,(WED),42,506.6,12.06,161.55,5.21,61,0,0,0,,,2005
,6-30,(THU),118,1671.76,14.17,460.8,4.39,69,0,0,0,,,2005
*,5-01,(SUN),0,,,,,,,,,,,2005
,5 - 02,(MON),2 03,2805.66,13 . 82,,613 . 44,,3 . 28,55,0,0,0,2005
,5-03,(TUE),200,2919.75,14 . 60,,727.8,,3.93,61,4,0,0,2005
,5-04,(WED),84,1007.22,11. 99,,269.57,,3.69,55,0,0,0,2005
,5 - 05,(THU),13,183.38,14.11,,48 . 38,,4 . 03,42,0,0,0,2005
,5 - 06,(FRI),324,4876.23,15.05,,1310.28,,4.35,68,0,0,0,2005
,5-07,(SAT),411,6187.2,15.05,,1714 . 00,,4.42,68,2,0,0,2005
*,5 - 08,(SUN),0,,,,,,,,,,,2005
,5- 09,(MON),306,4194.79,13.71,,944 . 41,,3 . 29,65,3,0,0,2005
,5-10,(TUE),240,3433 . 42,14.31,,753.11,,3 . 32,61,1,0,0,2005
,5- 11,(WED),220,2924.61,13.29,,580 . 64,,2 . 79,57,1,0,0,2005
,5 - 12,(THU),183,2570 . 15,14 . 04,,635 . 24,,3 . 67,60,0,0,0,2005
,5 - 13,(FRI),277,3865.5,13.95,,1005 . 14,,3 . 94,69,0,0,0,2005
,5 - 14,(SAT),331,4874 . 85,14.73,,1229.21,,3.97,69,0,0,0,2005
*,5 - 15,(SUN),0,,,,,,,,,,,2005
,5-16,(MON),226,3172 . 80,14 . 04,,640 . 67,,3 . 05,57,0,0,0,2005
,5 - 17,(TUE),219,3115.23,14.22,,738.77,,3.57,59,1,0,0,2005
,5-18,(WED),220,3169.75,14.41,,761. 34,,3 . 71,66,0,0,0,2005
,5 - 19,(THU),236,3147 . 43,13.34,,834.59,,3.73,60,4,0,0,2005
,5 - 20,(FRI),259,3771.02,14.56,,893 . 12,,3 .68,63,0,0,0,2005
,5 - 21,(SAT),360,5378.59,14.94,,1348 . 92,,3 . 93,67,1,0,0,2005
*,5 - 22,(SUN),0,,,,,,,,,,,2005
,5-2 3,(MON),233,3173 . 36,13.6 2,,764 . 90,,3 . 70,6 1,0,0,0,2005
,5 - 24,(TUE),222,3338 . 78,15 . 04,,865.95,,4 . 08,70,0,0,0,2005
,5- 25,(WED),168,2254.08,"13,42",,572 . 29,,3 . 60,66,2,0,0,2005
,5- 26,(THU),2 2 5,3290 . 02,14 . 62,,705.95,,3 . 33,62,1,1,0,2005
,5 - 27,(FRI),3 07,4671.93,15.22,,1192.14,,4 . 08,67,0,0,0,2005
,5-28,(SAT),375,5657.19,15.09,,1595 . 96,,4 . 48,68,0,2,1,2005
*,5-29,(SUN),0,,,,,,,,,,,2005
*,5 - 30,(MON),0,,,,,,,,,,,2005
,5-31,(TUE),1,,0,,,,0 . 00,0,,,,2005
,4-01,(FRI),347,4801.87,13.84,1119.35,3.48,59,2,0,0,,,2005
*,4-02,(SAT),0,,,,,,,,,,,2005
*,4-03,(SUN),0,,,,,,,,,,,2005
,4-04,(MON),385,5247.92,13.63,1147.11,3.14,59,0,0,0,,,2005
,4-05,(TUE),376,5489.48,14.6,1162.59,3.26,56,0,0,0,,,2005
,4-06,(WED),269,3346.31,12.44,752.1,2.95,53,1,0,0,,,2005
,4-07,(THU),188,2799.9,14.89,695.58,3.86,58,5,0,0,,,2005
,4-08,(FRI),184,2808.27,15.26,703.33,3.97,62,0,0,0,,,2005
,4-09,(SAT),436,6732.06,15.44,1735.47,4.23,64,2,0,0,,,2005
*,4-10,(SUN),0,,,,,,,,,,,2005
,4-11,(MON),315,4474.95,14.21,999.26,3.38,61,0,0,0,,,2005
,4-12,(TUE),233,3319.78,14.25,756.02,3.48,53,0,0,0,,,2005
,4-13,(WED),119,1677.29,14.09,431. 93,4,53,4,0,0,,,2005
,4-14,(THU),361,4941.31,13.69,1059.6,3.1,61,1,0,0,,,2005
,4-15,(FRI),388,5472.51,14.1,1141.24,3.12,58,4,0,0,,,2005
,4-16,(SAT),422,6488.21,15.37,1554.19,3.82,64,0,0,0,,,2005
*,4-17,(SUN),0,,,,,,,,,,,2005
,4-18,(MON),337,4519.89,13.41,1123.71,3.49,53,5,0,0,,,2005
,4-19,(TUE),285,3744.55,13.14,760.08,2.75,60,1,0,0,,,2005
,4-20,(WED),238,3371.99,14.17,742.26,3.27,58,0,0,0,,,2005
,4-21,{THU),294,4223.63,14.37,920.6,3.3,60,0,0,0,,,2005
,4-22,(FRI),338,4857.36,14.37,1064.56,3.32,59,1,1,1,,,2005
,4-23,(SAT),438,6903.64,15.76,1786.07,4.29,67,0,0,0,,,2005
*,4-24,(SUN),0,,,,,,,,,,,2005
,4-25,(MON),340,4799.86,14.12,1038.01,3.24,60,0,0,0,,,2005
,4-26,(TUE),250,3646.12,14.58,749.99,3.1,58,1,0,0,,,2005
*,4-27,{WED),0,,,,,,,,,,,2005
,4-28,(THU),332,4499.99,13.55,1004.33,3.25,55,0,0,0,,,2005
,4-29,(FRI),317,4536.89,14.31,1163.72,3.85,62,0,0,0,,,2005
,4-30,(SAT),365,5465.18,14.97,1368.93,3.98,65,1,0,0,,,2005
,3-01,(TUE),303,4242.92,14,947.83,3.42,64,1,0,0,,,2005
,3-02,(WED),250,3062.16,12.25,657.28,2.74,50,0,0,0,,,2005
,3-03,(THU),50,667.44,13.35,149.44,3.18,62,0,0,0,,,2005
,3-04,(FRI),258,3640.64,14.11,728.42,2.99,52,0,0,0,,,2005
,3-05,(SAT},414,6201. 32,14.98,1600.59,4.07,68,0,0,0,,,2005
*,3-06,(SUN),0,,,,,,,,,,,2005
,3-07,(MON),227,3214.94,14.16,753.43,3.6,58,0,0,0,,,2005
*,3-08,(TUE),0,,,,,,,,,,,2005
*,3-09,(WED),0,,,,,,,,,,,2005
,3-10,(THU),256,3732.08,14.58,903.79,3.85,61,1,0,0,,,2005
,3-11,(FRI),283,4094.2,14.47,891. 88,3.32,60,0,0,0,,,2005
,3-12,(SAT),355,5489.47,15.46,1383.81,4.06,67,1,0,0,,,2005
*,3-13,(SUN),0,,,,,,,,,,,2005
,3-14,(MON),278,4012.95,14.44,812.43,3.14,54,0,0,0,,,2005
,3-15,(TUE),234,3238.64,13.84,651.02,3.01,55,0,0,0,,,2005
,3-16,(WED),158,2052.59,12.99,497.2,3.41,58,1,0,0,,,2005
*,3-17,(THU),0,,,,,,,,,,,2005
,3-18,(FRI),213,3031.07,14.23,713.7,3.64,62,1,0,0,,,2005
,3-19,(SAT),320,5025.31,15.7,1249.37,4.16,66,0,0,0,,,2005
*,3-20,(SUN),0,,,,,,,,,,,2005
,3-21,(MON),185,2899.1,15.67,730.24,4.35,61,0,0,0,,,2005
,3-22,(TUE),200,3044.06,15.22,738.33,3.77,57,0,0,0,,,2005
,3-23,(WED},173,2309.01,13.35,633.85,4.06,62,3,0,0,,,2005
,3-24,(THU),207,2942.66,14.22,669.59,3.49,57,0,0,0,,,2005
,3-25,(FRI),301,4591.29,15.25,1101.81,3.85,66,0,0,0,,,2005
,3-26,(SAT),371,5105.86,13.76,1318.23,3.68,63,4,0,0,,,2005
*,3-27,(SUN),0,,,,,,,,,,,2005
*,3-28,(MON),0,,,,,,,,,,,2005
,3-29,(TUE),354,4842.93,13.68,988.41,2.97,59,1,0,0,,,2005
,3-30,(WED),323,4836.81,14.97,1173.09,3.88,62,0,0,0,,,2005
,3-31,(THU),311,4500.44,14.47,1024.62,3.46,60,0,0,0,,,2005
,2-01,(TUE),379,5438.93,14.35,1148.37,3.12,54,0,0,0,,,2005
,2-02,(WED),293,3096.13,10.57,813.95,2.92,54,0,0,0,,,2005
,2-03,(THU),406,5753.24,14.17,992.31,2.52,51,1,0,0,,,2005
,2-04,(FRI),204,2696.94,13.22,563.6,2.94,53,0,0,0,,,2005
,2-05,(SAT),549,7854.91,14.31,1643.62,3.1,62,1,0,0,,,2005
*,2-06,( SUN),0,,,,,,,,,,,2005
,2-07,(MON),507,6814.49,13.44,1177.45,2.39,51,0,0,0,,,2005
,2-08,(TUE),457,6158.98,13.48,899.73,2.02,49,0,0,0,,,2005
,2-09,(WED),480,5849.86,12.19,1120,2.43,45,0,0,0,,,2005
,2-10,(THU),382,5296.07,13.86,878.17,2.38,45,1,0,0,,,2005
,2-11,(FRI),500,7201. 77,14.4,1410.65,2.91,52,2,0,0,,,2005
,2-12,(SAT),590,8678.72,14.71,1974.38,3.45,60,4,0,0,,,2005
*,2-13,(SUN),0,,,,,,,,,,,2005
,2-14,(MON),493,6777.51,13.75,1302.21,2.74,49,0,0,0,,,2005
,2-15,(TUE),443,6077,13.72,985.7,2.34,48,0,0,0,,,2005
,2-16,(WED),382,5445.1,14.25,1015.61,2.73,51,4,0,0,,,2005
,2-17,(THU),391,5554.34,14.21,1067.71,2.8,50,0,0,0,,,2005
,2-18,(FRI),461,5750.7,12.47,1198.68,2.74,52,5,0,0,,,2005
,2-19,(SAT),504,7351. 41,14.59,1630.78,3.36,59,0,0,0,,,2005
*,2-20,(SUN),0,,,,,,,,,,,2005
,2-21,(MON),392,5490.84,14.01,992.21,2.62,54,0,0,0,,,2005
,2-22,(TUE),370,4981. 84,13.46,825.74,2.33,52,4,0,0,,,2005
,2-23,(WED),323,4100.69,12.7,857.41,2.79,52,0,0,0,,,2005
,2-24,(THU),261,3966.76,15.2,932.41,3.7,58,l,0,0,,,2005
*,2-25,(FRI),0,,,,,,,,,,,2005
,2-26,(SAT),196,2979.83,15.2,795.63,4.52,68,0,0,0,,,2005
*,2-27,(SUN),0,,,,,,,,,,,2005
,2-28,(MON),240,3400.1,14.17,767.8,3.47,58,0,0,0,,,2005
,1-03,(MON),436,6009.08,13.78,1083.03,2.61,51,0,0,0,,,2005
,1-04,(TUE),351,4926.78,14.04,996.53,2.94,55,0,0,0,,,2005
,1-05,(WED),313,3517.81,11.24,928.27,3.11,54,2,0,0,,,2005
,1-06,(THU),352,4943.74,14.04,966.78,2.84,56,0,0,0,,,2005
,1-07,(FRI),359,5096.89,14.2,1125.86,3.29,56,0,0,0,,,2005
,1-08,(SAT),474,7019.18,14.81,1663.68,3.66,61,0,0,0,,,2005
*,1-09,(SUN),0,,,,,,,,,,,2005
,1-10,(MON),369,5096.19,13.81,878.87,2.48,51,0,0,0,,,2005
,1-11,(TUE),329,3599.51,10.94,812.36,2.55,47,3,0,0,,,2005
,1-12,(WED),265,3625.2,13.68,703.01,2.82,57,l,0,0,,,2005
,1-13,(THU),250,3512.31,14.05,688.77,2.88,53,l,0,0,,,2005
