DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
,1-04,(SAT),393,5460.24,13.89,1315.92,3.51,61,1,0,0,,,2003
*,1-05,(SUN),0,,,,,,,,,,,2003
,1-06,(MON),354,4822.25,13.62,1026.68,3.02,54,1,0,0,,,2003
,1-07,(TUE),312,4163.6,13.34,793.29,2.62,50,0,0,0,,,2003
,1-08,(WED),306,3644.05,11.91,805.98,2.72,50,2,0,0,,,2003
,1-09,(THU),302,4014.14,13.29,796.97,2.73,49,0,0,0,,,2003
,1-10,(FRI),371,5121. 63,13.8,1214.17,3.39,59,0,0,0,,,2003
,1-11,(SAT),227,3221.44,14.19,882.37,4.12,64,0,0,0,,,2003
*,1-12,(SUN),0,,,,,,,,,,,2003
,1-13,(MON),206,2800.5,13.59,618.96,3.14,54,0,0,0,,,2003
,1-14,(TUE),257,3532.69,13.75,802.98,3.2,53,0,0,0,,,2003
,1-15,(WED),307,3509.32,11.43,775.22,2.65,49,0,0,0,,,2003
,1-16,(THU),356,4373.49,12.29,1027.12,2.99,55,0,0,0,,,2003
,1-17,(FRI),307,4134.34,13.47,856.87,2.96,56,0,0,0,,,2003
,1-18,(SAT),364,5234.69,14.38,1211.13,3.49,59,0,0,0,,,2003
*,1-19,(SUN),0,,,,,,,,,,,2003
,1-20,(MON),400,5426.42,13.57,1152.19,2.98,51,0,0,0,,,2003
,1-21,(TUE),361,4833.41,13.39,903.95,2.58,49,2,0,0,,,2003
,1-22,(WED),329,3867.09,11. 75,795.65,2.53,48,2,0,0,,,2003
,1-23,(THU),162,2186.09,13.49,479.51,3.05,47,2,0,0,,,2003
,1-24,(FRI),275,3618,13.16,673.92,2.62,54,0,0,0,,,2003
,1-25,(SAT),416,6149.57,14.78,1605.99,4.04,60,0,0,0,,,2003
*,1-26,(SUN),0,,,,,,,,,,,2003
,1-27,(MON),286,3691.73,12.91,649.5,2.41,46,1,0,0,,,2003
,1-28,(TUE),303,3892.16,12.85,944.37,3.2,55,6,0,0,,,2003
,1-29,(WED),309,3739.61,12.1,817.47,2.76,50,0,0,0,,,2003
,1-30,(THU),327,3840.29,11.74,748.74,2.37,50,1,0,0,,,2003
,1-31,(FRI),442,5916.67,13.39,1216.79,2.86,54,,,,,,2003
