DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS,EOD/T,EOD/R,bad_2,year
,1-24,(MON),245,3531.98,14.42,1031.2,4.65,72,0,0,0,,2011
,1-25,(TUE),160,2407.05,15.04,772.83,5.19,70,3,0,0,,2011
,1 -26,(WED),68,1030.64,15.16,306.74,4.65,77,1,0,0,,2011
,1 -27,(THU),342,4964.49,14.52,1590.27,5,70,1,0,0,,2011
,1-28,(FRI),349,4321.51,12.38,1508.98,4.61,67,0,0,0,,2011
,1-29,(SAT),397,6238.62,15.71,2014.06,5.33,72,2,0,0,,2011
*,1-30,(SUN),0,,,,,,,,,,2011
,1 -31,(MON),377,6015.67,15.96,2080.81,5.76,73,0,0,0,,2011
*12-01,(WED),144,1833.8,12.73,450.88,3.44,61,0,0,0,,,2010
*12-02,(THU),339,5138.95,15.16,1542.22,4.85,70,0,1,1,,,2010
*12 -03,(FRI),338,5317.25,15.73,1711.13,5.3,73,2,0,0,,,2010
*12-04,(SAT),355,5444.14,15.34,1693.36,5.05,73,0,0,0,,,2010
*12-05,(SUN),0,,,,,,,,,,,2010
*12-06,(MON),240,3630.35,15.13,1053.45,4.75,73,1,0,0,,,2010
*12-07,(TUE),224,3200.92,14.29,962.42,4.58,70,0,0,0,,,2010
*12-08,(WED),197,2922.88,14.84,1037.18,5.52,68,1,0,0,,,2010
*12-09,(THU),0,,,,,,,,,,,2010
*12-10,(FRI),339,4825.75,14.24,1588.48,5.19,77,2,0,0,,,2010
*12 -11,(SAT),272,4517.03,16.61,1762.41,6.86,83,0,0,0,,,2010
*12 -12,(SUN),0,,,,,,,,,,,2010
*12 -13,(MON),147,2098.67,14.28,862.73,6.74,77,0,0,0,,,2010
*12-14,(TUE),251,3529.96,14.06,822.13,3.45,69,2,0,0,,,2010
*12-15,(WED),263,3839.3,14.6,987.86,4,71,0,0,0,,,2010
*12-16,(THU),292,4454.09,15.25,1669.4,6.09,78,0,0,0,,,2010
*12 -17,(FRI),349,5458.01,15.64,1726.4,5.18,77,0,0,0,,,2010
*12 -18,(SAT),4,44.39,11.1,5.39,1.35,25,0,0,0,,,2010
*12 -19,(SUN),0,,,,,,,,,,,2010
*12 -20,(MON),249,3726.16,14.96,1322.09,5.98,69,0,0,0,,,2010
*12-21,(TUE),242,3851.43,15.91,1312.23,5.78,71,1,0,0,,,2010
*12 -22,(WED),277,4604.47,16.62,1622.64,6.15,73,4,0,0,,,2010
*12-23,(THU),314,4661,14.84,1502.31,5.02,72,1,0,0,,,2010
*12 -24,(FRI),242,4048.27,16.73,1450.81,6.28,75,0,0,0,,,2010
*12-25,(SAT),0,,,,,,,,,,,2010
*12 -26,(SUN),0,,,,,,,,,,,2010
*12 -27,(MON),211,3090.28,14.65,1061.14,5.61,71,0,0,0,,,2010
*12-28,(TUE),288,4383.87,15.22,1341.87,4.88,73,1,0,0,,,2010
*12-29,(WED),281,4430.45,15.77,1373.04,5.07,70,0,0,0,,,2010
*12-30,(THU),279,4781.89,17.14,1795.25,6.7,77,0,0,0,,,2010
*12-31,(FRI),434,6955,16.03,2429.7,5.8,76,0,0,0,,,2010
*11 -01,,(MON),210,3110.09,14.81,972.88,5.04,66,0,0,0,,2010
*11-02,,(TUE),104,1530.43,14.72,507.82,5.18,67,0,0,0,,2010
*11-03,,(WED),200,2933.62,14.67,1007.18,5.63,72,0,1,1,,2010
*11-04,,(THU),0,,,,,,,,,,2010
*11 -05,,(FRI),283,4210.79,14.88,1520.12,5.91,74,0,0,0,,2010
*11-06,,(SAT),295,4803.81,16.28,1785.69,6.57,80,0,0,1,,2010
*11-07,,(SUN),0,,,,,,,,,,2010
*11 -08,,(MON),266,4158.81,15.63,1418.2,5.56,69,0,0,0,,2010
*11-09,,(TUE),236,3385.21,14.34,1006.46,4.57,71,1,0,0,,2010
*11-10,,(WED),267,4352.33,16.3,1540.51,6.06,72,2,0,0,,2010
*11-11,,(THU),296,4714.85,15.93,1552.95,5.63,72,0,0,0,,2010
*11-12,,(FRI),255,4204.17,16.49,1488.95,6.23,78,0,0,0,,2010
*11-13,,(SAT),339,5464.28,16.12,2035.12,6.46,79,0,0,0,,2010
*11-14,,(SUN),0,,,,,,,,,,2010
*11 -15,,(MON),281,4363.24,15.53,1510.8,5.77,72,0,0,0,,2010
*11-16,,(TUE),251,4070.17,16.22,1283.1,5.39,76,1,0,0,,2010
*11-17,,(WED),250,4127.63,16.51,1383.18,5.74,71,1,0,0,,2010
*11-18,,(THU),259,3773.57,14.57,1282.21,5.32,72,0,0,0,,2010
*11-19,,(FRI),330,5343.68,16.19,1945.39,6.22,76,0,0,0,,2010
*11-20,,(SAT),328,5319.37,16.22,1952.59,6.42,79,0,0,0,,2010
*11-21,,(SUN),0,,,,,,,,,,2010
*11 -22,,(MON),297,4829.21,16.26,1630.84,5.76,78,2,·O,0,,2010
*11 -23,,(TUE),288,4636.82,16.1,1713.99,6.32,73,0,0,0,,2010
*11-24,,(WED),378,5957.32,15.76,2146.32,6.1,77,1,0,0,,2010
*11- 25,,(THU),0,,,,,,,,,,2010
*11 -26,,(FRI),180,2703.42,15.02,1021.26,6.04,73,0,0,0,,2010
*11-27,,(SAT),286,4612.76,16.13,1822.93,6.93,77,1,0,0,,2010
*11- 28,,(SUN),0,,,,,,,,,,2010
*11 -29,,(MON),291,4421.65,15.19,1550.82,5.79,73,0,0,0,,2010
*11 -30,,(TUE),284,4448.93,15.67,1333.1,4.9,66,0,0,0,,2010
10 -01,(FRI),235,3638.61,15.48,1374.39,6.39,79,0,0,0,,,2010
10-02,(SAT),295,5041.56,17.09,2051.34,7.41,80,1,0,0,,,2010
*10 -03,(SUN),0,,,,,,,,,,,2010
10-04,(MON),237,4022.8,16.97,1530.74,6.93,80,1,0,0,,,2010
10-05,(TUE),201,2931.8,14.59,876.74,4.71,74,0,0,0,,,2010
10 -06,(WED),189,2965.01,15.69,1154.3,6.48,81,0,0,0,,,2010
10-07,(THU),216,3320.66,15.37,1102.22,5.48,76,1,0,0,,,2010
10 -08,(FRI),249,4102.18,16.47,1602.13,6.88,80,0,0,0,,,2010
10 -09,(SAT),312,5175.98,16.59,1959.03,6.69,86,2,0,0,,,2010
*10-10,(SUN),0,,,,,,,,,,,2010
10 -11,(MON),251,4008.23,15.97,1376.62,5.78,81,0,0,0,,,2010
10-12,(TUE),148,2482.69,16.77,1022.28,7.69,77,1,0,0,,,2010
10 -13,(WED),91,1306.74,14.36,413.52,4.92,68,0,0,0,,,2010
*10 -14,(THU),0,,,,,,,,,,,2010
10 -15,(FRI),347,5686.61,16.39,2284.56,7.16,80,1,0,0,,,2010
10-16,(SAT),373,6220.12,16.68,2260.68,6.42,81,3,0,0,,,2010
*10-17,(SUN),0,,,,,,,,,,,2010
10-18,(MON),291,4582.77,15.75,1532.44,5.61,77,2,0,0,,,2010
10-19,(TUE),244,4135.64,16.95,1616.11,6.94,79,2,0,0,,,2010
10-20,(WED),228,3650.22,16.01,1348.14,6.33,80,1,0,0,,,2010
10-21,(THU),293,4483.94,15.3,1350.5,4.86,76,0,0,0,,,2010
10-22,(FRI),315,5131.18,16.29,1729.96,5.79,80,2,0,0,,,2010
10-23,(SAT),357,6358.65,17.81,2595.43,7.61,84,0,0,0,,,2010
*10-24,(SUN),0,,,,,,,,,,,2010
10 -25,(MON),207,3340.32,16.14,1207.49,6.36,74,0,0,0,,,2010
10-26,(TUE),227,3343.64,14.73,1054.77,5,73,0,0,0,,,2010
10 -27,(WED),175,2875.09,16.43,1090.48,6.73,75,0,0,0,,,2010
10-28,(THU),181,2776.34,15.34,921. 51,5.55,76,0,0,0,,,2010
10 -29,(FRI),240,3751.16,15.63,1478.11,6.75,71,1,0,0,,,2010
10-30,(SAT),311,5158.89,16.59,1913.67,6.42,77,0,0,0,,,2010
*10-31,(SUN),0,,,,,,,,,,,2010
*,9 - 01,(WED),144,1925.52,13.37,742.64,5.71,76,0,0,0,,2010
*,9-02,(THU),179,2521.18,14.08,749.13,4.62,80,0,0,0,,2010
*,9-03,(FRI),204,3330.15,16.32,1441.46,7.63,87,2,0,0,,2010
*,9-04,(SAT),183,3158.11,17.26,1512.88,9.06,86,2,0,0,,2010
*,9-05,(SUN),0,,,,,,,,,,2010
*,9-06,(MON),0,,,,,,,,,,2010
*,9-07,(TUE),106,1588.97,14.99,688.02,7.64,80,0,0,0,,2010
*,9-08,(WED),82,1282.82,15.64,595.21,8.15,79,0,0,0,,2010
*,9-09,(THU),84,1468.05,17.48,676.1,9.39,82,0,0,0,,2010
*,9-10,(FRI),80,1281.38,16.02,633.19,8.92,80,1,0,0,,2010
*,9-11,(SAT),187,2958.36,15.82,1244.92,7.41,85,0,0,0,,2010
*,9-12,(SUN),0,,,,,,,,,,2010
*,9-13,(MON),138,2150.88,15.59,862.66,6.96,75,2,0,0,,2010
*,9-14,(TUE),137,1890.21,13.8,702.82,6.11,76,0,0,0,,2010
*,9 - 15,(WED),145,2314.87,15 . 96,983.04,7.34,76,1,2,2,,2010
*,9-16,(THU),130,1827.05,14.05,617.78,5.19,67,1,0,0,,2010
*,9-17,(FRI),189,3132,16.57,1339.65,7.61,82,0,0,0,,2010
*,9 - 18,(SAT),248,4174 . 74,16 . 83,1835 . 41,8.09,85,0,0,0,,2010
*,9-19,(SUN),0,,,,,,,,,,2010
*,9 - 20,(MON),180,2740.45,15 . 22,875.62,5.24,81,0,0,0,,2010
*,9 - 21,(TUE),178,2679.28,15.05,926.06,5.86,83,0,0,0,,2010
*,9-22,(WED),152,2212.19,14.55,863 . 53,6.21,71,2,0,0,,2010
*,9 - 23,(THU),93,1460.51,15.7,528.9,6 . 15,74,0,0,0,,2010
*,9 - 24,(FRI),65,945.6,14.55,285.99,4.93,81,0,0,0,,2010
*,9 - 25,(SAT),133,2240.5,16.85,1072.89,9.67,85,1,0,0,,2010
*,9-26,(SUN),0,,,,,,,,,,2010
*,9 - 27,(MON),142,2073.65,14.6,933.6,7.78,77,1,0,0,,2010
*,9-28,(TUE),14,220.88,15.78,90.88,6.99,85,1,0,0,,2010
*,9-29,(WED),7,100.57,14.37,48.57,9.71,80,0,0,0,,2010
*,9 - 30,(THU),171,2514.66,14 . 71,1131 . 61,7.59,80,1,0,0,,2010
*,8-01,(SUN),0,,,,,,,,,,2010
,8-02,(MON),94,1342.67,14.28,675.62,8.14,76,0,0,0,,2010
,8-03,(TUE),87,1442.52,16.58,608.91,7.91,81,0,0,0,,2010
,8-04,(WED),77,1380.23,17.93,603.23,8.87,79,0,0,0,,2010
,8 -05,(THU),96,1553.69,16.18,662.08,7.79,80,1,0,0,,2010
,8-06,(FRI),166,2590.62,15.61,950.01,6.6,85,0,0,0,,2010
,8-07,(SAT),167,2649.11,15.86,890.55,5.9,80,0,0,0,,2010
*,8-08,(SUN),0,,,,,,,,,,2010
,8 -09,(MON),34,454.84,13.38,130.84,4.67,64,0,1,1,,2010
,8 -10,(TUE),6,95.96,15.99,30.96,6.19,100,0,0,0,,2010
,8 -11,(WED),101,1530.78,15.16,623.17,7.33,81,0,0,0,,2010
,8 -12,(THU),132,1967.57,14.91,726.79,6.49,74,2,0,0,,2010
,8 -13,(FRI),166,2672.59,16.1,1141. 37,7.76,87,0,0,0,,2010
,8 -14,(SAT),235,3967.55,16.88,1544.72,7.05,85,0,0,0,,2010
*,8 -15,(SUN),0,,,,,,,,,,2010
,8-16,(MON),84,1297.36,15.44,539.36,7.49,76,0,0,0,,2010
,8-17,(TUE),64,1015.03,15.86,426.03,8.35,88,0,0,0,,2010
,8 -18,(WED),116,1488.14,12.83,577.43,5.77,77,2,1,1,,2010
,8 -19,(THU),89,1335.11,15,496.11,6.12,78,0,0,0,,2010
,8 -20,(FRI),143,2265.54,15.84,931.1,7.16,81,0,0,0,,2010
,8 -21,(SAT),203,3327.48,16.39,1478 . 38,8.17,87,0,0,0,,2010
*,8 -22,(SUN),0,,,,,,,,,,2010
*,8 -23,(MON),0,,,,,,,,,,2010
,8 -2 4,(TUE),51,732.61,14.36,330.78,7.52,73,0,0,0,,2010
,8 -25,(WED),73,962.35,13.18,388.13,6.58,85,0,0,0,,2010
,8-26,(THU),88,1296.76,14.74,449.76,6,76,0,0,0,,2010
,8 -27,(FRI),180,2809.76,15.61,1094 . 54,6.67,79,0,0,0,,2010
,8-28,(SAT),190,3053.23,16.07,1309.4,7.79,83,0,0,0,,2010
*,8-29,(SUN),0,,,,,,,,,,2010
,8-30,(MON),76,1104.61,14.53,471.39,7.37,80,0,0,0,,2010
,8 -31,(TUE),95,1329.61,14,502.83,6.13,78,1,0,0,,2010
,7-01,(THU),74,1162.88,15.71,536.27,8.25,82,0,0,0,,2010
,7 -02,(FRI),71,1053.06,14.83,427.45,7.24,90,2,0,0,,2010
,7 -03,(SAT),71,1222.22,17.21,586.39,8.75,88,0,0,0,,2010
*,7-04,(SUN),0,,,,,,,,,,2010
,7 -05,(MON),73,1274.8,17.46,751.19,12.31,90,0,0,0,,2010
,7-06,(TUE),68,951. 00,13.99,331. 00,5.91,84,1,0,0,,2010
,7-07,(WED),125,2060.72,16.49,907.28,8.25,81,1,0,0,,2010
,7 -08,(THU),147,2461.79,16.75,938.57,7,87,1,0,0,,2010
,7 -09,(FRI),193,3229.27,16.73,1364.83,7.75,85,0,0,0,,2010
,7 -10,(SAT),223,3827.9,17.17,1610.29,7.78,84,1,0,0,,2010
*,7 -11,(SUN),0,,,,,,,,,,2010
,7-12,(MON),179,2625.95,14.67,1125.06,6.9,77,1,0,0,,2010
,7 -13,(TUE),147,2383.13,16.21,1026.3,7.49,74,0,0,0,,2010
,7 -14,(WED),82,1268.2,15.47,346.2,4.56,80,1,0,0,,2010
,7 -15,(THU),81,1216.68,15.02,354.68,4.93,69,0,0,0,,2010
,7 -16,(FRI),154,2269.75,14.74,835.92,6.06,76,1,0,0,,2010
,7 -17,(SAT),227,3758.63,16.56,1412.63,6.66,79,3,0,0,,2010
*,7 -18,(SUN),0,,,,,,,,,,2010
,7 -19,(MON),136,2074.16,15.25,747.66,6.18,73,0,0,0,,2010
,7-20,(TUE),140,2364.05,16.89,1114.61,8.64,76,1,0,0,,2010
,7 -21,(WED),145,2142.05,14.77,915.77,6.89,73,0,0,0,,2010
,7 -22,(THU),134,2189.81,16.34,905.81,7.81,83,0,0,0,,2010
,7 -23,(FRI),7,86.17,12.31,31.56,5.26,100,0,0,0,,2010
,7 -24,(SAT),163,2615.69,16.05,1079.74,7.4,85,1,0,0,,2010
*,7 -25,(SUN),0,,,,,,,,,,2010
,7-26,(MON),108,1674.78,15.51,708.62,8.15,78,0,0,0,,2010
,7 -27,(TUE),103,1542.53,14.98,561. 31,6.1,76,0,0,0,,2010
,7-28,(WED),92,1432.15,15.57,560.71,6.68,79,2,0,0,,2010
,7- 29,(THU),98,1439.38,14.69,568.55,6.69,74,1,0,0,,2010
,7 -30,(FRI),68,1092.65,16.07,376.04,6.07,76,0,0,0,,2010
,7 -31,(SAT),181,2956.98,16.34,1262.54,7.79,83,0,0,0,,2010
,6-01,(TUE),116,1550.17,13.36,485.17,5,76,0,0,0,,2010
,6-02,(WED),115,1890.28,16.44,845.24,7.9,82,0,0,0,,2010
,6 -03,(THU),162,2493.45,15.39,940.84,6.44,80,0,0,0,,2010
,6-04,(FRI),199,3062.3,15.39,1250.86,6.8,71,0,0,0,,2010
,6 -05,(SAT),230,3695.53,16.07,1520.42,7.24,79,2,0,0,,2010
*,6 -06,(SUN},0,,,,,,,,,,2010
,6-07,(MON),126,1624.97,12.9,681.87,6.26,73,0,1,0,,2010
,6 -08,(TUE),115,1810.28,15.74,627.67,5.92,77,2,0,0,,2010
,6 -09,(WED),109,1655.42,15.19,570.2,5.7,74,0,0,0,,2010
,6 -10,(THU),128,1967.47,15.37,805.25,7,79,0,0,0,,2010
,6 -11,(FRI),161,2533.01,15.73,1093.79,7.65,74,0,0,0,,2010
,6 -12,(SAT},215,3374.9,15.7,1201.68,6.04,75,0,0,0,,2010
*,6-13,(SUN),0,,,,,,,,,,2010
,6 -14,(MON),118,1875.68,15.9,680.07,6.18,82,0,0,0,,2010
,6-15,(TUE),147,1984.2,13.5,597.98,4.64,70,0,0,0,,2010
,6-16,(WED),126,2026.67,16.08,814.06,7.08,72,0,0,0,,2010
,6-17,(THU),113,1723.34,15.25,648.34,6.36,71,0,0,0,,2010
,6 -18,(FRI),151,2393.22,15.85,909.11,6.45,78,0,0,0,,2010
,6-19,(SAT),135,2153.28,15.95,921. 45,7.55,84,0,0,0,,2010
*,6 -20,(SUN),0,,,,,,,,,,2010
,6-21,(MON),83,1218.6,14.68,457.04,6.35,75,0,0,0,,2010
,6 -22,(TUE),82,1133.25,13.82,423.64,6.23,68,0,0,0,,2010
,6 -23,(WED),78,1265.8,16.23,536.19,7.77,81,1,0,0,,2010
,6 -24,(THU),94,1275.36,13.57,419.14,5.37,73,0,0,0,,2010
,6 -25,(FRI),157,2447.47,15.59,1004.42,7.23,83,1,0,0,,2010
,6-26,(SAT),141,2442.65,17.32,1125.65,9.15,82,0,0,0,,2010
*,6 -27,(SUN),0,,,,,,,,,,2010
,6-28,(MON),91,1319.3,14.5,449.69,5.69,70,0,0,0,,2010
,6-29,(TUE),75,1143.78,15.25,424.17,6.53,85,0,0,0,,2010
,6-30,(WED),39,642.01,16.46,338.18,9.95,88,0,0,0,,2010
,5-01,(SAT),261,4034.26,15.46,1302.26,5.36,81,0,0,0,,2010
*,5-02,(SUN),0,,,,,,,,,,2010
,5-03,(MON),242,3643.93,15.06,1181.49,5.23,72,1,0,0,,2010
,5-04,(TUE),220,3463.75,15.74,1400.92,6.77,78,0,0,0,,2010
,5-05,(WED),208,2568.82,12.35,745.33,3.84,69,3,0,0,,2010
,5-06,(THU),227,3399.1,14.97,1074.05,4.97,75,0,0,0,,2010
,5-07,(FRI),282,4242.84,15.05,1375.06,5.21,77,1,0,0,,2010
,5-08,(SAT),298,4525.81,15.19,1544.93,5.6,80,0,0,0,,2010
*,5-09,(SUN),0,,,,,,,,,,2010
,5-10,(MON),234,3610.83,15.43,1145.78,5.23,79,2,0,0,,2010
,5-11,(TUE),237,3506.27,14.79,983.44,4.49,73,1,0,0,,2010
,5 -12,(WED),225,2920.17,12.98,1052.63,5.16,75,1,0,0,,2010
,5 -13,(THU),246,3604.46,14.65,1114.19,4.89,73,0,0,0,,2010
,5 -14,(FRI),276,4466.49,16.18,1589.93,6.31,81,1,0,0,,2010
,5-15,(SAT),299,5015.24,16.77,1743.63,6.27,83,0,0,0,,2010
*,5-16,(SUN),0,,,,,,,,,,2010
,5 -17,(MON),107,1569.54,14.67,571.32,6.28,76,0,0,0,,2010
,5-18,(TUE),140,2137.12,15.27,613 . 55,4.79,77,0,0,0,,2010
,5 -19,(WED),85,1264.49,14.88,489.66,6.36,73,2,0,0,,2010
,5-20,(THU),140,2081. 86,14.87,761.86,6.3,74,0,0,0,,2010
,5-21,(FRI),196,3122.45,15.93,1150.23,6.57,82,0,0,0,,2010
,5-22,(SAT),232,4070.34,17.54,1583.12,7.47,86,2,0,0,,2010
*,5-23,(SUN),0,,,,,,,,,,2010
,5-24,(MON),181,2853.67,15.77,1030.84,6.21,81,2,0,0,,2010
,5-25,(TUE),153,2407.21,15.73,880.99,6.16,75,0,0,0,,2010
,5-26,(WED),172,2365.83,13.75,987.73,6.46,78,0,0,0,,2010
,5-27,(THU),191,3052.46,15.98,1114.63,6.3,77,0,0,0,,2010
,5 -28,(FRI),248,3971.19,16.01,1373.07,5.89,77,0,0,0,,2010
,5-29,(SAT),227,3811.24,16.79,1513.63,7.38,86,3,0,0,,2010
*,5-30,(SUN),0,,,,,,,,,,2010
*,5-31,(MON),0,,,,,,,,,,2010
,4 -01,(THU),324,4986.07,15.39,1595.07,5.28,71,0,0,0,,2010
,4 -02,(FRI),388,6018.59,15.51,1749.71,4.77,77,0,0,0,,2010
,4 -03,(SAT),378,5914.96,15.65,1720.74,4.74,74,2,0,0,,2010
*,4-04,(SUN),0,,,,,,,,,,2010
,4-05,(MON),334,5110.75,15.3,1535.09,4.84,79,0,0,0,,2010
